,Model,Human
0,7.0,-0.2289610171
1,7.0,-0.3294771339
2,7.0,-0.1701839804
3,7.0,-0.4354430304
4,7.0,0.1514241802
5,7.0,-0.3380382896
6,7.0,-0.4135898218
7,7.0,0.1817510244
8,7.0,1.316889335
9,7.0,-1.067777554
10,7.0,1.084167226
11,7.0,-0.6020125677
12,7.0,-0.5045297062
13,7.0,0.4754726542
14,7.0,1.300486863
15,7.0,-0.9586104462
16,7.0,0.8421183057
17,7.0,-0.5780319782
18,7.0,-0.5385557862
19,7.0,0.5209050639
20,7.0,1.30403963
21,7.0,-1.139407288
22,7.0,-0.6703821361
23,7.0,0.4610981216
24,7.0,0.877161003
25,7.0,-0.511273971
